time,T1,T2,T3,T4,thermo1,thermo2,thermo3
6400.0,17.681633,11.335029,12.799014,14.758521,25.000275,32.515614,22.432266
6500.0,17.86386,11.46014,12.895516,14.8647,25.062243,32.46397,22.43886
6600.0,18.028849,11.571078,12.991603,14.970582,25.090254,32.413887,22.447046
6700.0,18.182112,11.674581,13.087272,15.076127,25.10071,32.365337,22.456728
6800.0,18.326603,11.774033,13.182519,15.181329,25.102163,32.318268,22.467829
6900.0,18.463984,11.871185,13.27734,15.28616,25.099121,32.272625,22.48028
7000.0,18.595268,11.966975,13.371734,15.390607,25.094019,32.22838,22.493994
7100.0,18.721098,12.061904,13.465695,15.494652,25.088175,32.185463,22.508919
7200.0,18.841928,12.156236,13.559227,15.598287,25.08229,32.14384,22.524979
7300.0,18.958082,12.250112,13.652313,15.701474,25.07673,32.10347,22.542109
7400.0,19.069824,12.343605,13.744962,15.804231,25.071693,32.0643,22.560257
7500.0,19.177382,12.436752,13.837165,15.90652,25.067244,32.026295,22.579361
7600.0,19.280937,12.529559,13.928924,16.008352,25.063398,31.989418,22.599373
7700.0,19.380669,12.622024,14.020237,16.109705,25.060152,31.953615,22.620255
7800.0,19.476732,12.714139,14.111092,16.210564,25.057474,31.918861,22.641945
7900.0,19.569279,12.805901,14.201507,16.31094,25.055334,31.885118,22.664392
8000.0,19.65845,12.89729,14.29145,16.410805,25.05368,31.852346,22.687576
8100.0,19.744371,12.988304,14.380961,16.510168,25.052496,31.82051,22.71144
8200.0,19.82718,13.078918,14.469995,16.609013,25.051733,31.789589,22.735952
8300.0,19.906979,13.169143,14.558595,16.707335,25.051348,31.759542,22.761063
8400.0,19.983908,13.258948,14.646712,16.805136,25.05131,31.730341,22.786764
8500.0,20.058065,13.348344,14.734391,16.902405,25.051605,31.701956,22.813004
8600.0,20.129541,13.4373045,14.821607,16.99914,25.052195,31.674368,22.839752
8700.0,20.198444,13.525836,14.908351,17.09535,25.053041,31.647535,22.86699
8800.0,20.26487,13.613922,14.994659,17.191002,25.054129,31.621445,22.894674
8900.0,20.328905,13.701566,15.080498,17.286123,25.055433,31.596071,22.92279
9000.0,20.390648,13.788757,15.165879,17.380705,25.05693,31.571386,22.951315
9100.0,20.450174,13.875492,15.250813,17.47473,25.058603,31.547373,22.980215
9200.0,20.507555,13.961766,15.335285,17.56822,25.06044,31.52401,23.009474
9300.0,20.56286,14.047576,15.419295,17.66115,25.062407,31.501274,23.039068
9400.0,20.616188,14.132916,15.502864,17.753532,25.064499,31.47914,23.068968
9500.0,20.667595,14.217788,15.585965,17.845366,25.066698,31.457586,23.099165
9600.0,20.717155,14.302188,15.668626,17.936653,25.068995,31.43661,23.129646
9700.0,20.764908,14.386113,15.750828,18.02739,25.071375,31.416176,23.160376
9800.0,20.810938,14.469559,15.832584,18.117567,25.073822,31.396278,23.191345
9900.0,20.85528,14.5525255,15.913883,18.207205,25.076332,31.376894,23.222534
10000.0,20.898,14.635014,15.994744,18.29629,25.078878,31.35801,23.25393
10100.0,20.939156,14.717019,16.075151,18.38482,25.08146,31.339605,23.28552
10200.0,20.978807,14.798539,16.155123,18.472809,25.08407,31.321684,23.317286
10300.0,21.01699,14.879581,16.234648,18.560251,25.08671,31.304209,23.349218
10400.0,21.053747,14.960144,16.313726,18.647135,25.089355,31.28718,23.381296
10500.0,21.089128,15.040218,16.392366,18.733479,25.092005,31.270569,23.413515
10600.0,21.12317,15.119812,16.470564,18.81927,25.09465,31.254377,23.445854
10700.0,21.155931,15.198921,16.548325,18.904528,25.09729,31.238588,23.478308
10800.0,21.187456,15.277553,16.625654,18.98925,25.09992,31.223185,23.510862
10900.0,21.217762,15.355699,16.702549,19.073412,25.102537,31.20817,23.54351
11000.0,21.246893,15.433369,16.779018,19.157038,25.10512,31.193514,23.576235
11100.0,21.274885,15.510551,16.85505,19.240133,25.107681,31.179228,23.609037
11200.0,21.301765,15.587262,16.930655,19.322693,25.110205,31.165283,23.6419
11300.0,21.327585,15.663491,17.005836,19.404728,25.112694,31.151672,23.674818
11400.0,21.352362,15.739243,17.080595,19.486216,25.115152,31.138391,23.707785
11500.0,21.376135,15.814522,17.154926,19.567171,25.117569,31.125437,23.740782
11600.0,21.398932,15.889327,17.22884,19.64761,25.119928,31.112776,23.77381
11700.0,21.42077,15.963665,17.30234,19.727518,25.122253,31.100428,23.806864
11800.0,21.441687,16.037521,17.375418,19.806892,25.124527,31.088358,23.839935
11900.0,21.461714,16.110907,17.448084,19.885733,25.126757,31.076586,23.87301
12000.0,21.480865,16.18384,17.52035,19.964071,25.128927,31.065084,23.906082
12100.0,21.499168,16.256294,17.592188,20.041912,25.131042,31.053846,23.939163
12200.0,21.516653,16.328287,17.663626,20.119223,25.133102,31.042875,23.97223
12300.0,21.533323,16.399834,17.734667,20.19601,25.135103,31.032166,24.00528
12400.0,21.549212,16.470888,17.805288,20.272285,25.13704,31.021692,24.038307
12500.0,21.564354,16.541508,17.875525,20.348063,25.13891,31.011452,24.071312
12600.0,21.57875,16.61167,17.945356,20.423353,25.140722,31.001463,24.104288
12700.0,21.592443,16.681358,18.014784,20.498161,25.14247,30.991701,24.13724
12800.0,21.605446,16.750608,18.083818,20.572447,25.14416,30.982162,24.17015
12900.0,21.617767,16.819414,18.152472,20.646208,25.14579,30.972832,24.203003
13000.0,21.62943,16.887758,18.220728,20.719494,25.14736,30.963717,24.23581
13100.0,21.640448,16.95566,18.288593,20.792303,25.148863,30.95481,24.26858
13200.0,21.65084,17.023138,18.356081,20.86463,25.1503,30.946106,24.301285
13300.0,21.660627,17.090155,18.423178,20.936472,25.15168,30.9376,24.333937
13400.0,21.669815,17.156729,18.489882,21.007814,25.152992,30.929289,24.366522
13500.0,21.678427,17.222878,18.556223,21.078676,25.154226,30.92115,24.39904
13600.0,21.686483,17.28859,18.622192,21.149054,25.155405,30.9132,24.431494
13700.0,21.693995,17.353868,18.687778,21.218975,25.156523,30.905432,24.46387
13800.0,21.700974,17.418718,18.752998,21.288435,25.157578,30.897842,24.496176
13900.0,21.707445,17.48314,18.817842,21.357409,25.15857,30.89042,24.528399
14000.0,21.713411,17.547136,18.88231,21.42592,25.159498,30.883163,24.560547
14100.0,21.718882,17.610708,18.946424,21.493973,25.160364,30.876066,24.59262
14200.0,21.723871,17.673853,19.010164,21.561563,25.161165,30.869125,24.624609
14300.0,21.728392,17.73659,19.073545,21.628725,25.16191,30.862337,24.65651
14400.0,21.732454,17.798918,19.136583,21.695436,25.162582,30.855713,24.688324
14500.0,21.736074,17.860819,19.199236,21.761679,25.1632,30.849222,24.720041
14600.0,21.739265,17.922302,19.261541,21.827454,25.163744,30.842882,24.75167
14700.0,21.74202,17.983395,19.323511,21.892775,25.164236,30.836693,24.783203
14800.0,21.74437,18.044086,19.385126,21.957644,25.16466,30.83063,24.814636
14900.0,21.74631,18.104353,19.44638,22.022087,25.165037,30.824713,24.845964
15000.0,21.747866,18.164215,19.507286,22.086134,25.165346,30.818926,24.877203
15100.0,21.74906,18.223701,19.567863,22.149734,25.165598,30.813278,24.908342
15200.0,21.749876,18.28278,19.628088,22.21289,25.1658,30.807755,24.939384
15300.0,21.750315,18.341452,19.687967,22.27561,25.16594,30.802355,24.970327
15400.0,21.75043,18.39974,19.747515,22.337875,25.166021,30.79708,25.001167
15500.0,21.750177,18.45765,19.806738,22.39974,25.166046,30.791918,25.031893
15600.0,21.74959,18.515165,19.86561,22.46118,25.166023,30.786882,25.062513
15700.0,21.74868,18.57229,19.924177,22.522232,25.165949,30.781973,25.093027
15800.0,21.747458,18.629034,19.982405,22.582857,25.165817,30.777166,25.123444
15900.0,21.745916,18.685408,20.040297,22.643059,25.165634,30.772476,25.153746
16000.0,21.744072,18.741392,20.097853,22.702835,25.165392,30.767908,25.183937
16100.0,21.74193,18.797003,20.15509,22.762184,25.16511,30.763435,25.214012
