date,actiontime,temperature
1/4,17:15,17.73
2/4,16:30,14.35
3/4,17:15,17.75
4/4,None,21.5
5/4,None,21.4
6/4,16:15,11.58
7/4,17:15,17.17
8/4,16:0,12.3
9/4,15:45,7.6
10/4,16:0,9.3
11/4,16:0,10.7
12/4,15:45,5.98
13/4,16:0,9.7
14/4,15:45,7.42
15/4,15:45,7.0
16/4,15:45,7.48
17/4,16:0,11.9
18/4,16:30,14.15
19/4,17:0,16.8
20/4,None,20.27
21/4,None,21.3
22/4,17:30,18.25
23/4,16:0,12.6
24/4,15:45,7.12
25/4,16:15,13.23
26/4,15:45,6.75
27/4,16:0,9.5
28/4,15:30,5.75
29/4,15:30,5.6
30/4,15:45,7.48
