date,actiontime,temperature
1/2,15:30,4.8
2/2,15:30,5.6
3/2,15:45,6.4
4/2,15:30,5.95
5/2,15:45,8.7
6/2,15:30,4.2
7/2,15:30,4.15
8/2,15:30,3.7
9/2,15:15,1.68
10/2,15:0,0.8
11/2,15:15,2.62
12/2,15:0,-1.0
13/2,15:0,-0.8
14/2,15:0,-0.1
15/2,15:0,-1.0
16/2,15:0,-1.2
17/2,15:0,-1.7
18/2,15:0,-0.5
19/2,14:45,-3.98
20/2,15:30,4.0
21/2,15:45,6.3
22/2,15:30,5.95
23/2,15:30,6.3
24/2,15:0,0.1
25/2,15:0,-0.8
26/2,15:0,0.7
27/2,15:0,0.0
28/2,15:15,3.45
