date,actiontime,temperature
1/1,14:45,-2.85
2/1,15:45,6.22
3/1,15:45,7.02
4/1,15:0,-0.2
5/1,15:15,1.85
6/1,15:15,2.22
7/1,15:0,0.0
8/1,15:0,-0.7
9/1,15:0,-1.0
10/1,15:0,0.1
11/1,15:30,4.3
12/1,15:15,2.4
13/1,15:30,3.6
14/1,15:45,8.13
15/1,15:30,3.9
16/1,15:15,1.6
17/1,15:0,-0.2
18/1,15:15,2.78
19/1,16:0,10.1
20/1,15:30,5.35
21/1,15:30,5.4
22/1,15:30,5.75
23/1,15:45,7.07
24/1,15:15,2.02
25/1,15:0,-0.4
26/1,15:0,-1.2
27/1,14:45,-3.25
28/1,15:15,2.68
29/1,15:0,0.1
30/1,15:15,3.42
31/1,15:30,4.85
