date,actiontime,temperature
1/2,14:30,4.9
2/2,14:30,5.7
3/2,14:30,6.45
4/2,14:30,5.95
5/2,14:45,8.93
6/2,14:15,3.08
7/2,14:15,1.98
8/2,14:15,3.35
9/2,14:15,1.88
10/2,14:15,0.95
11/2,14:15,2.78
12/2,14:0,-1.4
13/2,14:0,-1.2
14/2,14:0,-0.7
15/2,14:0,-1.1
16/2,14:0,-1.8
17/2,13:45,-3.12
18/2,14:0,-1.6
19/2,13:45,-4.73
20/2,14:15,3.6
21/2,14:30,6.7
22/2,14:30,5.85
23/2,14:30,6.4
24/2,14:0,0.0
25/2,14:0,-0.9
26/2,14:0,0.9
27/2,14:0,0.0
28/2,14:15,2.9
