date,actiontime,temperature
1/1,13:45,-3.6
2/1,14:30,6.95
3/1,14:45,8.17
4/1,14:0,-0.2
5/1,14:15,1.7
6/1,14:15,2.38
7/1,14:0,-0.2
8/1,14:0,-0.5
9/1,14:0,-1.3
10/1,14:0,-0.4
11/1,14:30,4.6
12/1,14:15,3.22
13/1,14:15,3.6
14/1,14:45,7.65
15/1,14:30,4.15
16/1,14:15,1.8
17/1,14:0,0.2
18/1,14:15,1.75
19/1,14:45,9.78
20/1,14:30,5.9
21/1,14:30,5.2
22/1,14:30,5.55
23/1,14:45,7.35
24/1,14:15,1.8
25/1,14:0,-0.8
26/1,14:0,-1.8
27/1,13:45,-4.2
28/1,14:15,2.5
29/1,14:0,-0.3
30/1,14:15,3.28
31/1,14:30,5.05
