date,actiontime,temperature
1/2,14:0,4.8
2/2,14:0,5.7
3/2,14:15,6.48
4/2,14:15,5.98
5/2,14:30,9.15
6/2,13:45,2.75
7/2,13:45,1.87
8/2,13:45,3.05
9/2,13:30,1.5
10/2,13:30,0.95
11/2,13:45,2.68
12/2,13:0,-2.2
13/2,13:15,-1.58
14/2,13:15,-1.38
15/2,13:0,-2.0
16/2,13:0,-3.3
17/2,13:0,-3.8
18/2,13:0,-2.7
19/2,13:0,-5.4
20/2,13:45,3.08
21/2,14:15,6.6
22/2,14:0,5.4
23/2,14:15,6.35
24/2,13:15,0.08
25/2,13:15,-0.9
26/2,13:30,0.9
27/2,13:15,-0.22
28/2,13:45,2.52
