date,actiontime,temperature
1/3,15:0,11.2
2/3,15:0,5.3
3/3,15:0,9.8
4/3,15:0,7.2
5/3,15:0,5.3
6/3,15:0,4.1
7/3,15:0,3.4
8/3,15:0,7.4
9/3,15:0,9.4
10/3,15:0,10.3
11/3,15:0,4.5
12/3,15:0,5.7
13/3,15:0,5.1
14/3,15:0,6.5
15/3,15:0,11.4
16/3,15:0,7.1
17/3,15:0,5.7
18/3,15:0,2.4
19/3,15:0,4.5
20/3,15:0,5.1
21/3,15:0,6.5
22/3,15:0,6.5
23/3,15:0,6.0
24/3,15:0,10.9
25/3,15:0,13.4
26/3,15:0,15.7
27/3,15:0,16.1
28/3,15:0,14.6
29/3,15:0,11.6
30/3,15:0,9.1
31/3,15:0,8.4
